ID	Country	Lat	Long	Aprox.Age	DEME	Include=1/Exclude=0
CGG26	Russia/Siberia	70.723306	135.425222	31351	Beringia	1
CGG22	Russia/Siberia	70.723306	135.425222	31377	Beringia	0
CGG25	Russia/Siberia	70.723306	135.425222	31423.5	Beringia	1
CGG28	Russia/Siberia	70.723306	135.425222	31758	Beringia	1
TU3	Belgium	50.219527	4.92335	32723	Europe	1
CGG14	Russia/Siberia	70.72375	135.414667	32734	Beringia	0
CGG27	Russia/Siberia	70.723306	135.425222	32844	Beringia	1
CGG15	Russia/Siberia	70.72375	135.414667	32925.5	Beringia	1
TU2	Belgium	50.219527	4.92335	33318	Europe	1
TH12	 Russia	49	89	34048	Central_North_Eurasia	1
SK1	Russia/Siberia	74	98	34900.5	Central_North_Eurasia	1
TU1	Belgium	50.219527	4.92335	35235.5	Europe	1
TU6	Belgium	50.444489	5.012985	38481.5	Europe	1
CGG18	Russia/Siberia	70.713694	135.372583	41738.5	Beringia	1
TU7	Belgium	50.217	4.817	46348.5	Europe	1
TH4	Western Russia	61.496323	34.002613	52153.715	Europe	1
CGG12	Russia/Siberia	68.630556	159.135278	55643.388	Beringia	1
CGG32	Russia/Siberia	68.894167	147.2125	61110.94	Beringia	1
CGG29	Russia/Siberia	68.918111	134.4795	67239.038	Beringia	1
